drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Pazopanib HCl,200mg,Tablet,120.0,,,,,282.45,Votrient,21533042100320-Generic,79.14,120,,confirmed,pazopanib-hcl-200mg-tablet,False,False
PEG 3350-KCl-Na Bicarb-NaCl,420gm,Bottle of Solution Reconstituted,4000.0,,,,,20.09,Nulytely Lemon-Lime,46992004302120-4000-Generic,46.0,4000,4 liter,confirmed,peg-3350-kcl-na-bicarb-nacl-420gm-bottle-of-solution-reconstituted-4000-nulytely-lemon-lime,False,False
PEG 3350-KCl-Na Bicarb-NaCl-Na Sulfate,236gm,Solution,4000.0,,,,,21.99,Golytely,46992005302130-4000-Generic,40.59,4000,4 Liters,confirmed,peg3350-kcl-nabicarb-nacl-nasulfate-236gm-solution,False,False
PEG-KCl-NaCl-NaSulf-Na Asc-C,100gm,Bottle of Solution Reconstituted,1.0,,,,,47.19,MoviPrep,46992006302120-1-Generic,67.0,1,1 liter,confirmed,peg-kcl-nacl-nasulf-na-asc-c-100gm-bottle-of-solution-reconstituted-1-moviprep,False,False
Penciclovir,1%,Tube of Cream,5.0,,,,,352.59,Denavir,90350060003720-5-Generic,791.0,5,5g,confirmed,penciclovir-1-tube-of-cream-5-denavir,False,False
Penicillamine,250mg,Bottle of Capsules,100.0,,,,,105.98,Cuprimine,99200030000110-Generic,373.07,100,,confirmed,penicillamine-250mg-capsule,False,False
Penicillamine,250mg,Tablet,100.0,,,,,652.53,Depen Titratabs,99200030000305-Generic,106.47,100,,confirmed,penicillamine-250mg-tablet-depen-titratabs,False,False
Penicillin V Potassium,500mg,Tablet,100.0,,,,,7.04,Beepen-VK,01100040100315-Generic,0.94,100,,confirmed,PenicillinPotassium-500mg-Tablet,False,False
Penicillin V Potassium,250mg,Tablet,100.0,,,,,6.21,Beepen-VK,01100040100310-Generic,0.45,100,,confirmed,PenicillinPotassium-500mg-Tablet,False,False
Pentoxifylline ER,400mg,Tablet Extended-Release,100.0,,,,,18.08,Trental,85200010000410-Generic,0.83,100,,confirmed,pentoxifylline-er-400mg-tablet-extended-release-trental,False,False
