drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Abacavir / Lamivudine,600mg-300mg,Tablet,30.0,,,,,38.22,Epzicom,12109902200340-Generic,36.54,30,,confirmed,abacavirlamivudine-600mg_300mg-tablet,False,False
Abacavir Sulfate,300mg,Tablet,60.0,,,,,15.52,Ziagen,12105005100320-Generic,11.27,60,,confirmed,abacavir-sulfate-300mg-tablet-ziagen,False,False
Abacavir Sulfate,20mg/mL,Bottle of Solution,240.0,,,,,81.04,Ziagen,12105005102020-240-Generic,157.0,240,240mL,confirmed,abacavir-sulfate-300mg-tablet-ziagen,False,False
Abiraterone Acetate,250mg,Tablet,120.0,,,,,19.25,Zytiga,21406010200320-Generic,36.44,120,,confirmed,abiraterone-acetate-250mg-tablet,False,False
Abiraterone Acetate,500mg,Tablet,60.0,,,,,48.12,Zytiga,21406010200330-Generic,204.73,60,,confirmed,abiraterone-acetate-250mg-tablet,False,False
Acamprosate Calcium,333mg,Tablet Delayed Release,180.0,,,,,22.08,Campral,62802010200620-Generic,1.77,180,,confirmed,acamprosate-calcium-333mg-tablet-delayed-release-campral,False,False
Acarbose,100mg,Tablet,100.0,,,,,13.04,Precose,27500010000340-Generic,1.44,100,,confirmed,acarbose-100mg-tablet,False,False
Acarbose,50mg,Tablet,100.0,,,,,8.0,Precose,27500010000320-Generic,1.57,100,,confirmed,acarbose-100mg-tablet,False,False
Acarbose,25mg,Tablet,100.0,,,,,7.35,Precose,27500010000310-Generic,1.52,100,,confirmed,acarbose-100mg-tablet,False,False
Accu-Chek Guide Me Meter for Diabetic Blood Glucose Testing,-,Kit,1.0,,,,,12.75,,97202010006410-1-Accu-Chek_Guide_Me_Meter_for_Diabetic_Blood_Glucose_Testing,29.99,1,1 Kit,confirmed,accu-chek-guide-me-care-kit,False,False
Accu-Chek Guide Test Strips for Diabetic Blood Glucose,-,Box of 50 Test Strips,50.0,,,,,18.79,,94100030006100-50-Accu-Chek_Guide_Test_Strips_for_Diabetic_Blood_Glucose,29.99,50,50 Test Strips,confirmed,accu-chek-guide-test-strips-50ct,False,False
Accu-Chek Softclix Lancets for Diabetic Blood Glucose Testing,-,Box of 100 Lancets,100.0,,,,,16.49,,97202025006300-100-Accu-Chek_Softclix_Lancets_for_Diabetic_Blood_Glucose_Testing,20.49,100,100 Lancets,confirmed,accu-chek-softclix-lancets-100ct,False,False
Acebutolol HCl,200mg,Capsule,100.0,,,,,21.56,Sectral,33200010100105-Generic,0.8,100,,confirmed,acebutolol-hcl-200mg-capsule-sectral,False,False
Acebutolol HCl,400mg,Capsule,100.0,,,,,27.32,Sectral,33200010100110-Generic,1.3,100,,confirmed,acebutolol-hcl-200mg-capsule-sectral,False,False
Acetazolamide,250mg,Tablet,100.0,,,,,11.21,Diamox,37100010000310-Generic,2.32,100,,confirmed,acetazolamide-250mg-tablet,False,False
Acetazolamide,125mg,Tablet,100.0,,,,,6.66,Diamox,37100010000305-Generic,2.23,100,,confirmed,acetazolamide-250mg-tablet,False,False
Acetazolamide ER,500mg,Extended Release Capsule,100.0,,,,,11.56,Diamox Sequels,37100010006920-Generic,4.55,100,,confirmed,acetazolamide-er-500mg-capsule,False,False
Acetic Acid,2%,Bottle of Solution,15.0,,,,,17.6,VoSol,87400010102010-15-Generic,40.0,15,15mL,confirmed,acetic-acid-2-bottle-of-solution-15-vosol,False,False
Acitretin,10mg,Capsule,30.0,,,,,51.13,Soriatane,90250510000110-Generic,27.77,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acitretin,17.5mg,Capsule,30.0,,,,,60.75,Soriatane,90250510000115-Generic,38.7,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acitretin,25mg,Capsule,30.0,,,,,44.19,Soriatane,90250510000125-Generic,31.83,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acyclovir,400mg,Tablet,500.0,,,,,6.69,Zovirax,12405010000320-Generic,0.86,500,,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,800mg,Tablet,500.0,,,,,8.0,Zovirax,12405010000330-Generic,1.46,500,,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,5%,Ointment,15.0,,,,,8.45,Zovirax,90350010004205-15-Generic,324.29,15,15g,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,200mg,Capsule,100.0,,,,,6.72,Zovirax,12405010000110-Generic,0.57,100,,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,5%,Ointment,30.0,,,,,9.02,Zovirax,90350010004205-30-Generic,688.37,30,30g,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,5%,Tube of Cream,5.0,,,,,31.13,Zovirax,90350010003720-5-Generic,122.0,5,5g,confirmed,Acyclovir-400mg-Tablet,False,False
Acyclovir,200mg/5ml,Suspension,473.0,,,,,6.31,Zovirax,12405010001810-Generic,0.79,473,,confirmed,Acyclovir-400mg-Tablet,False,False
Adalimumab-aacf,40mg/0.8ml,Auto-injector Kit 2 Pens,1.0,,,,,618.75,Humira,6627001502F540-2-Generic,897.9,1,1.6mL (2 Pens),confirmed,adalimumab-aacf-40mg_0_8ml-auto-injector-kit-2,False,False
Adalimumab-aacf,40mg/0.8ml,Starter Pack (Ps/UV) 4 Pens,2.0,,,,,1222.5,Humira,6627001502F540-4-Generic,1793.0,2,3.2mL (4 Pens),confirmed,adalimumab-aacf-40mg_0_8ml-auto-injector-kit-2,False,False
Adalimumab-aacf,40mg/0.8ml,Starter Pack (CD/UC/HS Strt) 6 Pens,3.0,,,,,1826.25,Humira,6627001502F540-6-Generic,2689.0,3,4.8mL (6 pens),confirmed,adalimumab-aacf-40mg_0_8ml-auto-injector-kit-2,False,False
Adalimumab-aacf,40mg/0.8ml,Prefilled Syringe Kit 2 Prefilled Syringes,1.0,,,,,618.75,Humira,6627001502F840-1-Generic,897.9,1,1.6mL (2 Prefilled Syringes),confirmed,adalimumab-aacf-40mg_0_8ml-auto-injector-kit-2,False,False
Adalimumab-fkjp,40mg/0.8ml,Auto-injector Kit,2.0,,,,,423.25,Humira,6627001535F520-1-Generic,979.82,2,2 Pen,confirmed,adalimumab-fkjp-40mg_0_8ml-auto-injector-kit-1,False,False
Adalimumab-fkjp,20mg/0.4ml,Prefilled Syringe Kit,2.0,,,,,423.25,Humira,6627001535F810-1-Generic,979.82,2,2 Syringe,confirmed,adalimumab-fkjp-40mg_0_8ml-auto-injector-kit-1,False,False
Adalimumab-fkjp,40mg/0.8ml,Prefilled Syringe Kit,2.0,,,,,423.25,Humira,6627001535F820-1-Generic,979.82,2,2 Syringe,confirmed,adalimumab-fkjp-40mg_0_8ml-auto-injector-kit-1,False,False
Adapalene,0.10%,Tube of Cream,45.0,,,,,96.42,Differin,90050003003710-45-Generic,258.0,45,45g,confirmed,adapalene-0_10-tube-of-cream-45-differin,False,False
Adapalene,0.30%,Tube of Gel,45.0,,,,,21.69,Differin,90050003004030-45-Generic,258.0,45,45g,confirmed,adapalene-0_10-tube-of-cream-45-differin,False,False
Adapalene-Benzoyl Peroxide,0.1-2.5%,Gel Pump,45.0,,,,,17.33,Epiduo,90059902034020-45-Generic,298.0,45,45g,confirmed,adapalene-benzoyl-peroxide-0_1-2_5-gel-pump-45-epiduo,False,False
Adapalene-Benzoyl Peroxide,0.3-2.5%,Gel Pump,45.0,,,,,25.55,Epiduo Forte,90059902034030-45-Generic,588.0,45,45g,confirmed,adapalene-benzoyl-peroxide-0_3-2_5-gel-pump-45-epiduo-forte,False,False
Adefovir Dipivoxil,10mg,Tablet,30.0,,,,,318.95,Hepsera,12352015100320-Generic,38.5,30,,confirmed,adefovir-dipivoxil-10mg-tablet-hepsera,False,False
Admelog,100 unit/ml,Solution,10.0,,,,,5.0,Sanofi,27104005002022-10-Admelog,0.0,10,10 mL,confirmed,admelog-100-unit_ml-solution-10-admelog,False,False
Advair Diskus (Fluticasone / Salmeterol),100-50mcg,Aerosol Powder Inhaler,60.0,,,,,94.7,,44209902708020-60-Advair_Diskus,402.0,60,60 Doses,confirmed,advair-diskus-100-50mcg-act-60-dose-inhaler,False,False
Advair Diskus (Fluticasone / Salmeterol),250-50mcg,Aerosol Powder Inhaler,60.0,,,,,117.57,,44209902708030-60-Advair_Diskus,498.0,60,60 Doses,confirmed,advair-diskus-100-50mcg-act-60-dose-inhaler,False,False
Advair Diskus (Fluticasone / Salmeterol),500-50mcg,Aerosol Powder Inhaler,60.0,,,,,157.54,,44209902708040-60-Advair_Diskus,654.0,60,60 Doses,confirmed,advair-diskus-100-50mcg-act-60-dose-inhaler,False,False
Albendazole,200mg,Tablet,2.0,,,,,55.89,Albenza,15000002000320-Generic,218.84,2,,confirmed,albendazole-200mg-tablet,False,False
Albuterol HFA,90mcg,Inhaler,18.0,,,,,46.38,"Ventolin HFA, Proventil HFA or Proair HFA",44201010103410-18-Generic,54.34,18,18g,confirmed,albuterol-90mcg-inhaler18g,False,False
Albuterol HFA,90mcg,Inhaler,8.5,,,,,12.31,"Ventolin HFA, Proventil HFA or Proair HFA",44201010103410-8.5-Generic,55.79,8.5,8.5g,confirmed,albuterol-90mcg-inhaler18g,False,False
Albuterol HFA,90mcg,Inhaler,6.7,,,,,14.1,"Ventolin HFA, Proventil HFA or Proair HFA",44201010103410-6.7-Generic,49.09,6.7,6.7g,confirmed,albuterol-90mcg-inhaler18g,False,False
Albuterol Sulfate,0.63mg/3mL,Nebulization Solution,75.0,,,,,14.64,AccuNeb,44201010102555-75-Generic,38.0,75,Box of 25 Vials,confirmed,albuterol-sulfate-0_63mg-3ml-nebulization-solution-3-accuneb,False,False
Albuterol Sulfate,1.25mg/3mL,Pack of Inhalation Suspension Vials,75.0,,,,,15.06,AccuNeb,44201010102560-75-Generic,44.27,75,75mL,confirmed,albuterol-sulfate-0_63mg-3ml-nebulization-solution-3-accuneb,False,False
Albuterol Sulfate,2mg,Tablet,100.0,,,,,9.45,Proventil,44201010100305-Generic,5.0,100,,confirmed,albuterol-sulfate-2mg-tablet-proventil,False,False
Albuterol Sulfate,4mg,Tablet,100.0,,,,,9.83,Proventil,44201010100310-Generic,5.3,100,,confirmed,albuterol-sulfate-2mg-tablet-proventil,False,False
Albuterol Sulfate,2.5mg/0.5mL,Box of 30 vials,15.0,,,,,20.1,Proventil,44201010102520-15-Generic,40.0,15,Box of 30 Vials,confirmed,albuterol-sulfate-2mg-tablet-proventil,False,False
Albuterol Sulfate,0.083%,Pack of Nebulization Solution Vials,90.0,,,,,12.75,Proventil,44201010102515-90-Generic,52.92,90,90 mL,confirmed,albuterol-sulfate-2mg-tablet-proventil,False,False
Albuterol Sulfate,2mg/5ml,Syrup,473.0,,,,,5.83,Proventil,44201010101205-Generic,0.12,473,,confirmed,albuterol-sulfate-2mg-tablet-proventil,False,False
Alclometasone Dipropionate,0.05%,Tube of Cream,15.0,,,,,19.58,Aclovate,90550005103710-15-Generic,45.0,15,15mL,confirmed,alclometasone-dipropionate-0_05-tube-of-cream-15-aclovate,False,False
Alclometasone Dipropionate,0.05%,Tube of Ointment,45.0,,,,,26.99,Aclovate,90550005104210-45-Generic,105.0,45,45mL,confirmed,alclometasone-dipropionate-0_05-tube-of-cream-15-aclovate,False,False
Alendronate Sodium,10mg,Tablet,100.0,,,,,7.38,Fosamax,30042010100310-Generic,2.7,100,,confirmed,alendronate-10mg-tablet,False,False
Alendronate Sodium,35mg,Pack of 4 Tablets,4.0,,,,,6.15,Fosamax,30042010100335-4-Generic,47.52,4,4 Tablets,confirmed,alendronate-10mg-tablet,False,False
Alendronate Sodium,70mg,Pack of 4 Tablets,4.0,,,,,5.53,Fosamax,30042010100370-4-Generic,28.61,4,4 Tablets,confirmed,alendronate-10mg-tablet,False,False
Alendronate Sodium,70mg/75mL,Bottle of Solution,75.0,,,,,42.79,Fosamax,30042010102020-75-Generic,354.0,75,75mL,confirmed,alendronate-10mg-tablet,False,False
Alfuzosin HCl ER,10mg,Extended Release Tablet,90.0,,,,,6.83,Uroxatral,56852010107530-Generic,2.63,90,,confirmed,alfuzosinhcler-10mg-tablet,False,False
Aliskiren Fumarate,150mg,Tablet,30.0,,,,,99.94,Tekturna,36170010100320-Generic,6.4,30,,confirmed,aliskiren-fumarate-150mg-tablet-tekturna,False,False
Aliskiren Fumarate,300mg,Tablet,30.0,,,,,130.13,Tekturna,36170010100340-Generic,8.2,30,,confirmed,aliskiren-fumarate-150mg-tablet-tekturna,False,False
Allopurinol,100mg,Tablet,1000.0,,,,,5.59,Zyloprim,68000010000305-Generic,0.38,1000,,confirmed,allopurinol-100mg-tablet,False,False
Allopurinol,300mg,Tablet,500.0,,,,,5.93,Zyloprim,68000010000310-Generic,0.59,500,,confirmed,allopurinol-100mg-tablet,False,False
Almotriptan Malate,12.5mg,Tablet,12.0,,,,,341.44,Axert,67406010100330-Generic,15.13,12,,confirmed,almotriptan-malate-12_5mg-tablet-axert,False,False
Almotriptan Malate,6.25mg,Tablet,6.0,,,,,336.1,Axert,67406010100320-Generic,47.7,6,,confirmed,almotriptan-malate-12_5mg-tablet-axert,False,False
Alosetron HCl,0.5mg,Tablet,30.0,,,,,45.26,Lotronex,52554015100310-Generic,20.13,30,,confirmed,alosetron-hcl-0_5mg-tablet-lotronex,False,False
Alosetron HCl,1mg,Tablet,30.0,,,,,50.09,Lotronex,52554015100320-Generic,46.8,30,,confirmed,alosetron-hcl-0_5mg-tablet-lotronex,False,False
Amantadine HCl,100mg,Capsule,500.0,,,,,7.1,Symmetrel,73200010100105-Generic,1.67,500,,confirmed,amantadinehcl-100mg-capsule,False,False
Amantadine HCl,100mg,Tablet,500.0,,,,,7.83,Symmetrel,73200010100310-Generic,2.33,500,,confirmed,amantadinehcl-100mg-capsule,False,False
Amantadine HCl,50mg/5ml,Solution,473.0,,,,,6.48,Symmetrel,73200010102005-Generic,0.16,473,,confirmed,amantadinehcl-100mg-capsule,False,False
Amiloride HCl,5mg,Tablet,100.0,,,,,9.97,Midamor,37500010100305-Generic,0.83,100,,confirmed,amiloride-hcl-5mg-tablet-midamor,False,False
Amiloride-Hydrochlorothiazide,5-50mg,Tablet,100.0,,,,,18.14,Moduretic,37990002100310-Generic,0.8,100,,confirmed,amiloride-hydrochlorothiazide-5-50mg-tablet-moduretic,False,False
Aminocaproic Acid,1000mg,Tablet,30.0,,,,,141.48,Amicar,84100010000320-Generic,32.07,30,,confirmed,aminocaproic-acid-1000mg-tablet-amicar,False,False
Aminocaproic Acid,500mg,Tablet,30.0,,,,,45.68,Amicar,84100010000305-Generic,20.73,30,,confirmed,aminocaproic-acid-1000mg-tablet-amicar,False,False
Aminocaproic Acid,0.25gm/mL,Bottle of Solution,236.5,,,,,99.45,Amicar,84100010002060-236.5-Generic,2932.0,236.5,236.5mL,confirmed,aminocaproic-acid-1000mg-tablet-amicar,False,False
Amiodarone HCl,100mg,Tablet,30.0,,,,,10.18,Pacerone,35400005000303-Generic,6.29,30,,confirmed,amiodarone-hcl-100mg-tablet,False,False
Amiodarone HCl,200mg,Tablet,60.0,,,,,7.9,Pacerone,35400005000305-Generic,1.22,60,,confirmed,amiodarone-hcl-100mg-tablet,False,False
Amiodarone HCl,400mg,Tablet,30.0,,,,,19.77,Pacerone,35400005000320-Generic,6.51,30,,confirmed,amiodarone-hcl-100mg-tablet,False,False
Amitriptyline,100mg,Tablet,100.0,,,,,7.93,Elavil,58200010100325-Generic,1.2,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amitriptyline,10mg,Tablet,100.0,,,,,5.97,Elavil,58200010100305-Generic,0.33,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amitriptyline,150mg,Tablet,100.0,,,,,7.55,Elavil,58200010100330-Generic,1.76,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amitriptyline,25mg,Tablet,100.0,,,,,6.59,Elavil,58200010100310-Generic,0.4,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amitriptyline,50mg,Tablet,100.0,,,,,7.42,Elavil,58200010100315-Generic,0.65,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amitriptyline,75mg,Tablet,100.0,,,,,7.55,Elavil,58200010100320-Generic,0.98,100,,confirmed,amitriptyline-100mg-tablet,False,False
Amlodipine,10mg,Tablet,1000.0,,,,,5.31,Norvasc,34000003100340-Generic,2.0,1000,,confirmed,amlodipine-10mg-tablet,False,False
Amlodipine,2.5mg,Tablet,1000.0,,,,,5.1,Norvasc,34000003100320-Generic,1.67,1000,,confirmed,amlodipine-10mg-tablet,False,False
Amlodipine,5mg,Tablet,1000.0,,,,,5.21,Norvasc,34000003100330-Generic,1.73,1000,,confirmed,amlodipine-10mg-tablet,False,False
Amlodipine-Atorvastatin,10-10mg,Tablet,30.0,,,,,27.63,Caduet,40992502150350-Generic,6.27,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,10-20mg,Tablet,30.0,,,,,21.7,Caduet,40992502150355-Generic,8.1,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,10-40mg,Tablet,30.0,,,,,30.22,Caduet,40992502150360-Generic,8.2,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,10-80mg,Tablet,30.0,,,,,35.7,Caduet,40992502150365-Generic,8.7,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,2.5-10mg,Tablet,30.0,,,,,89.66,Caduet,40992502150305-Generic,6.93,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,2.5-20mg,Tablet,30.0,,,,,120.54,Caduet,40992502150310-Generic,11.43,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,2.5-40mg,Tablet,30.0,,,,,123.51,Caduet,40992502150315-Generic,11.43,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,5-10mg,Tablet,30.0,,,,,24.73,Caduet,40992502150320-Generic,11.43,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,5-20mg,Tablet,30.0,,,,,21.7,Caduet,40992502150325-Generic,11.43,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,5-40mg,Tablet,30.0,,,,,64.24,Caduet,40992502150330-Generic,11.43,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine-Atorvastatin,5-80mg,Tablet,30.0,,,,,29.49,Caduet,40992502150335-Generic,8.47,30,,confirmed,amlodipine-atorvastatin-10-10mg-tablet-caduet,False,False
Amlodipine Besylate-Benazepril HCl,5-40mg,Capsule,100.0,,,,,7.93,Lotrel,36991502200145-Generic,1.17,100,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Benazepril HCl,10mg-20mg,Capsule,100.0,,,,,7.42,Lotrel,36991502200150-Generic,2.78,100,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Benazepril HCl,10mg-40mg,Capsule,100.0,,,,,8.45,Lotrel,36991502200160-Generic,4.08,100,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Benazepril HCl,5mg-10mg,Capsule,100.0,,,,,7.07,Lotrel,36991502200130-Generic,2.23,100,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Benazepril HCl,2.5mg-10mg,Capsule,100.0,,,,,6.55,Lotrel,36991502200120-Generic,2.03,100,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Benazepril HCl,5mg-20mg,Capsule,500.0,,,,,7.42,Lotrel,36991502200140-Generic,1.98,500,,confirmed,amlodipine-besy-benazepril-hcl-5-40mg-capsule-lotrel,False,False
Amlodipine Besylate-Valsartan,10-160mg,Tablet,30.0,,,,,21.73,Exforge,36993002100330-Generic,6.8,30,,confirmed,amlodipine-besylate-valsartan-10-160mg-tablet-exforge,False,False
Amlodipine Besylate-Valsartan,10-320mg,Tablet,30.0,,,,,20.52,Exforge,36993002100340-Generic,7.03,30,,confirmed,amlodipine-besylate-valsartan-10-160mg-tablet-exforge,False,False
Amlodipine Besylate-Valsartan,5-160mg,Tablet,90.0,,,,,13.83,Exforge,36993002100310-Generic,5.1,90,,confirmed,amlodipine-besylate-valsartan-10-160mg-tablet-exforge,False,False
Amlodipine Besylate-Valsartan,5-320mg,Tablet,30.0,,,,,16.73,Exforge,36993002100320-Generic,6.07,30,,confirmed,amlodipine-besylate-valsartan-10-160mg-tablet-exforge,False,False
Amlodipine-Olmesartan,10-20mg,Tablet,30.0,,,,,8.0,Azor,36993002050330-Generic,6.47,30,,confirmed,amlodipine-olmesartan-10-20mg-tablet-azor,False,False
Amlodipine-Olmesartan,10-40mg,Tablet,30.0,,,,,8.73,Azor,36993002050340-Generic,8.67,30,,confirmed,amlodipine-olmesartan-10-20mg-tablet-azor,False,False
Amlodipine-Olmesartan,5-20mg,Tablet,30.0,,,,,7.07,Azor,36993002050310-Generic,6.9,30,,confirmed,amlodipine-olmesartan-10-20mg-tablet-azor,False,False
Amlodipine-Olmesartan,5-40mg,Tablet,30.0,,,,,8.45,Azor,36993002050320-Generic,8.33,30,,confirmed,amlodipine-olmesartan-10-20mg-tablet-azor,False,False
Amlodipine-Valsartan-HCTZ,10-160-12.5mg,Tablet,30.0,,,,,144.14,Exforge HCT,36994503200330-Generic,9.83,30,,confirmed,amlodipine-valsartan-hctz-10-160-12_5mg-tablet-exforge-hct,False,False
Amlodipine-Valsartan-HCTZ,10-160-25mg,Tablet,30.0,,,,,145.55,Exforge HCT,36994503200335-Generic,9.25,30,,confirmed,amlodipine-valsartan-hctz-10-160-12_5mg-tablet-exforge-hct,False,False
Amlodipine-Valsartan-HCTZ,10-320-25mg,Tablet,30.0,,,,,184.4,Exforge HCT,36994503200340-Generic,12.47,30,,confirmed,amlodipine-valsartan-hctz-10-160-12_5mg-tablet-exforge-hct,False,False
Amlodipine-Valsartan-HCTZ,5-160-12.5mg,Tablet,30.0,,,,,96.22,Exforge HCT,36994503200320-Generic,9.13,30,,confirmed,amlodipine-valsartan-hctz-10-160-12_5mg-tablet-exforge-hct,False,False
Amlodipine-Valsartan-HCTZ,5-160-25mg,Tablet,30.0,,,,,259.37,Exforge HCT,36994503200325-Generic,8.65,30,,confirmed,amlodipine-valsartan-hctz-10-160-12_5mg-tablet-exforge-hct,False,False
Ammonium Lactate,12%,Bottle of Cream,385.0,,,,,27.93,Lac-Hydrin,90650015003730-385-Generic,65.0,385,385g,confirmed,ammonium-lactate-12-bottle-of-cream-385-lac-hydrin,False,False
Ammonium Lactate,12%,Tube of Cream,140.0,,,,,12.02,Lac-Hydrin,90650015003730-140-Generic,32.12,140,140gm Tube,confirmed,ammonium-lactate-12-bottle-of-cream-385-lac-hydrin,False,False
Amoxapine,100mg,Tablet,100.0,,,,,43.71,Asendin,58200020000315-Generic,2.33,100,,confirmed,amoxapine-100mg-tablet-asendin,False,False
Amoxapine,150mg,Tablet,30.0,,,,,69.38,Asendin,58200020000320-Generic,4.4,30,,confirmed,amoxapine-100mg-tablet-asendin,False,False
Amoxapine,25mg,Tablet,100.0,,,,,19.63,Asendin,58200020000305-Generic,0.9,100,,confirmed,amoxapine-100mg-tablet-asendin,False,False
Amoxapine,50mg,Tablet,100.0,,,,,27.6,Asendin,58200020000310-Generic,1.43,100,,confirmed,amoxapine-100mg-tablet-asendin,False,False
Amoxicillin-Pot Clavulanate,875mg-125mg,Tablet,20.0,,,,,11.8,Augmentin,01990002200340-Generic,2.86,20,,confirmed,amoxicillinclavulanate-875_125mg-tablet,False,False
Amoxicillin-Pot Clavulanate,250mg-125mg,Tablet,30.0,,,,,37.15,Augmentin,01990002200310-Generic,5.12,30,,confirmed,amoxicillinclavulanate-875_125mg-tablet,False,False
Amoxicillin-Pot Clavulanate,500mg-125mg,Tablet,100.0,,,,,10.86,Augmentin,01990002200320-Generic,2.18,100,,confirmed,amoxicillinclavulanate-875_125mg-tablet,False,False
Amoxicillin-Pot Clavulanate ER,1000-62.5mg,Extended Release Tablet,28.0,,,,,204.17,Augmentin XR,01990002207420-Generic,7.0,28,,confirmed,amoxicillin-pot-clavulanate-er-1000-62_5mg-extended-release-tablet-augmentin-xr,False,False
Amoxicillin (Trihydrate),250mg,Capsule,100.0,,,,,6.38,Amoxil,01200010100105-Generic,0.43,100,,confirmed,amoxicillin-250mg-capsule,False,False
Amoxicillin (Trihydrate),875mg,Tablet,100.0,,,,,9.07,Amoxil,01200010100315-Generic,1.02,100,,confirmed,amoxicillin-250mg-capsule,False,False
Amoxicillin (Trihydrate),500mg,Tablet,100.0,,,,,6.9,Amoxil,01200010100303-Generic,0.88,100,,confirmed,amoxicillin-250mg-capsule,False,False
Amoxicillin (Trihydrate),125mg,Tablet Chewable,100.0,,,,,11.52,Amoxil,01200010100505-Generic,0.57,100,,confirmed,amoxicillin-250mg-capsule,False,False
Amoxicillin (Trihydrate),250mg,Tablet Chewable,100.0,,,,,15.59,Amoxil,01200010100510-Generic,0.73,100,,confirmed,amoxicillin-250mg-capsule,False,False
Amoxicillin (Trihydrate),500mg,Capsule,500.0,,,,,6.79,Amoxil,01200010100110-Generic,0.5,500,,confirmed,amoxicillin-250mg-capsule,False,False
Ampicillin,500mg,Capsule,100.0,,,,,20.63,Principen,01200020200110-Generic,0.77,100,,confirmed,ampicillin-500mg-capsule-principen,False,False
Anagrelide HCl,0.5mg,Capsules,100.0,,,,,28.29,Agrylin,85156010100120-Generic,5.95,100,,confirmed,anagrelide-hcl-0_5mg-capsules,False,False
Anagrelide HCl,1mg,Capsules,100.0,,,,,53.96,Agrylin,85156010100130-Generic,4.13,100,,confirmed,anagrelide-hcl-0_5mg-capsules,False,False
Anastrozole,1mg,Tablet,1000.0,,,,,7.48,Arimidex,21402810000310-Generic,4.29,1000,,confirmed,Anastrozole-1mg-Tablet,False,False
Apidra,100 unit/ml,Solution,10.0,,,,,5.0,Sanofi,27104004002022-10-Apidra,0.0,10,10 mL,confirmed,apidra-100-unit_ml-solution-10-apidra,False,False
Apraclonidine HCl,0.50%,Solution Dropper,10.0,,,,,136.7,Iopidine,86602010102010-10-Generic,175.0,10,10mL,confirmed,apraclonidine-hcl-0_50-solution-dropper-10-iopidine,False,False
Aprepitant,80& 125 mg,Pack of Capsules,3.0,,,,,209.8,Emend Tri-Pack,5028002000B220-3-Generic,906.0,3,3 Capsules,confirmed,aprepitant-80-125mg-pack-of-capsules-3-emend-tri-pack,False,False
Aprepitant,125mg,Capsule,6.0,,,,,1608.9,Emend,50280020000130-Generic,234.62,6,,confirmed,aprepitant-125mg-capsule,False,False
Aprepitant,40mg,Capsule,5.0,,,,,599.92,Emend,50280020000110-Generic,89.73,5,,confirmed,aprepitant-125mg-capsule,False,False
Aprepitant,80mg,Capsule,6.0,,,,,1037.34,Emend,50280020000120-Generic,168.64,6,,confirmed,aprepitant-125mg-capsule,False,False
Arformoterol Tartrate,15mcg/2mL,Nebulization Solution,60.0,,,,,28.83,Brovana,44201012102520-60-Generic,572.0,60,Pack of 30 Vials,confirmed,arformoterol-tartrate-15mcg-2ml-nebulization-solution-2-brovana,False,False
