drug_name,metric_type,value,unit,source_name,source_year,source_page,source_quote,class_level
Tadalafil (Adcirca) Pill,markup_pct,710,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Tadalafil (Adcirca) Pill,markup_pct,528,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Dalfampridine (Ampyra) Pill,markup_pct,1195,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Dalfampridine (Ampyra) Pill,markup_pct,849,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Dimethyl Fumarate (Tecfidera) Pill,markup_pct,2053,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Dimethyl Fumarate (Tecfidera) Pill,markup_pct,1616,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Glatiramer (Copaxone) Injectable,markup_pct,126,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Glatiramer (Copaxone) Injectable,markup_pct,158,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Abiraterone (Zytiga) Pill,markup_pct,1191,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Abiraterone (Zytiga) Pill,markup_pct,744,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Capecitabine (Xeloda) Pill,markup_pct,542,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Capecitabine (Xeloda) Pill,markup_pct,277,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Everolimus (Afinitor/Zortress) Pill,markup_pct,2,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Everolimus (Afinitor/Zortress) Pill,markup_pct,1,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
Imatinib (Gleevec) Pill,markup_pct,412,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, commercial claims, 2017-2022 avg",False
Imatinib (Gleevec) Pill,markup_pct,344,percent,FTC Second Interim Staff Report (Jan 2025),2025,36,"affiliated pharmacy markup over NADAC, Medicare Part D, 2017-2022 avg",False
